kind	slug	cells_root	cell_T	cell_COST	probe_T	probe_COST
ROW	clbcfs03	cells-clb-sc-freelist-saltdiet	40063494	13.970707	101481	0.178290
ROW	clbclp01	cells-clb-sc-lru-plain	4392002	2.299409	113635	0.181054
ROW	clbclp02	cells-clb-sc-lru-plain	3311062	1.502575	174922	0.155373
ROW	clbclp03	cells-clb-sc-lru-plain	3130034	1.521733	117406	0.171453
ROW	clbcls01	cells-clb-sc-lru-saltdiet	31561498	10.284256	131285	0.238947
ROW	clbcls02	cells-clb-sc-lru-saltdiet	18469872	6.756101	166141	0.282259
ROW	clbcls03	cells-clb-sc-lru-saltdiet	47674308	14.438625	165825	0.279346
ROW	clbcpp01	cells-clb-sc-paxos-plain	19088970	9.913626	117920	0.154258
ROW	clbcpp02	cells-clb-sc-paxos-plain	13041725	7.132101	149651	0.173018
ROW	clbcpp03	cells-clb-sc-paxos-plain	25411064	11.548690	143318	0.140438
ROW	clbcps01	cells-clb-sc-paxos-saltdiet	147690881	37.523208	95239	0.093643
ROW	clbcps02	cells-clb-sc-paxos-saltdiet	136282843	37.245220	96701	0.155706
ROW	clbcps03	cells-clb-sc-paxos-saltdiet	122208068	37.139312	67051	0.168408
ROW	clbczp01	cells-clb-sc-lzw-plain	10474410	5.279612	145645	0.150951
ROW	clbczs01	cells-clb-sc-lzw-saltdiet	78606023	23.713591	64681	0.095432
ROW	clbgcp01	cells-clb-sg-crc32-plain	2382807	1.036054	91681	0.108004
ROW	clbgcp02	cells-clb-sg-crc32-plain	1957050	1.109575	84973	0.076170
ROW	clbgcp03	cells-clb-sg-crc32-plain	1951260	0.830202	57950	0.080488
ROW	clbgcs01	cells-clb-sg-crc32-saltdiet	12883928	4.683305	66344	0.107044
ROW	clbgcs02	cells-clb-sg-crc32-saltdiet	11282464	4.240513	99186	0.254940
ROW	clbgcs03	cells-clb-sg-crc32-saltdiet	13769728	4.985597	66965	0.111224
ROW	clbgfp01	cells-clb-sg-freelist-plain	4389046	2.826565	59408	0.090775
ROW	clbgfp02	cells-clb-sg-freelist-plain	3047750	1.737905	58714	0.085981
ROW	clbgfp03	cells-clb-sg-freelist-plain	6002932	3.896011	60851	0.158232
ROW	clbgfs01	cells-clb-sg-freelist-saltdiet	139213330	37.634641	96141	0.173867
ROW	clbgfs02	cells-clb-sg-freelist-saltdiet	127367752	37.540002	65424	0.156856
ROW	clbgfs03	cells-clb-sg-freelist-saltdiet	135847593	37.829759	95203	0.148769
ROW	clbglp01	cells-clb-sg-lru-plain	2018955	1.191352	142130	0.270710
ROW	clbglp02	cells-clb-sg-lru-plain	3001404	1.493160	56777	0.072528
ROW	clbglp03	cells-clb-sg-lru-plain	1416995	0.731422	147571	0.162601
ROW	clbgls01	cells-clb-sg-lru-saltdiet	16369599	5.638327	100175	0.116197
ROW	clbgls02	cells-clb-sg-lru-saltdiet	12413742	4.600003	62496	0.080118
ROW	clbgls03	cells-clb-sg-lru-saltdiet	32354799	10.144814	102894	0.128996
ROW	clbgpp01	cells-clb-sg-paxos-plain	4940776	3.310993	55863	0.065946
ROW	clbgpp02	cells-clb-sg-paxos-plain	4783392	3.238154	84937	0.076043
ROW	clbgpp03	cells-clb-sg-paxos-plain	6092792	3.583105	55851	0.065746
ROW	clbgps01	cells-clb-sg-paxos-saltdiet	123431808	37.654924	63762	0.146129
ROW	clbgps02	cells-clb-sg-paxos-saltdiet	149723116	37.503311	97466	0.102891
ROW	clbgps03	cells-clb-sg-paxos-saltdiet	86492083	25.733013	95046	0.147946
ROW	clbgzp01	cells-clb-sg-lzw-plain	2831420	1.677894	89328	0.097648
ROW	clbgzp02	cells-clb-sg-lzw-plain	2283130	1.538213	90356	0.159179
ROW	clbgzp03	cells-clb-sg-lzw-plain	1750186	1.349910	85741	0.136478
ROW	clbgzs01	cells-clb-sg-lzw-saltdiet	43275552	15.803267	94739	0.090313
ROW	clbgzs02	cells-clb-sg-lzw-saltdiet	45607005	14.277412	67074	0.112738
ROW	clbgzs03	cells-clb-sg-lzw-saltdiet	43775216	12.659600	63962	0.147441
ROW	clbscp01	cells-clb-ss-crc32-plain	2342084	1.043661	59816	0.150245
ROW	clbscp02	cells-clb-ss-crc32-plain	2122136	0.890799	58884	0.087116
ROW	clbscp03	cells-clb-ss-crc32-plain	1791782	0.752797	87908	0.090253
ROW	clbscs01	cells-clb-ss-crc32-saltdiet	10394221	3.703468	95393	0.093008
ROW	clbscs02	cells-clb-ss-crc32-saltdiet	11270376	4.003466	65346	0.157221
ROW	clbscs03	cells-clb-ss-crc32-saltdiet	15826280	5.400479	100003	0.115984
ROW	clbsfp01	cells-clb-ss-freelist-plain	4025687	2.651219	57362	0.077136
ROW	clbsfp02	cells-clb-ss-freelist-plain	5994481	3.234718	59539	0.092564
ROW	clbsfp03	cells-clb-ss-freelist-plain	4465685	2.719386	89240	0.170067
ROW	clbsfs01	cells-clb-ss-freelist-saltdiet	123911218	34.986248	64496	0.094725
ROW	clbsfs02	cells-clb-ss-freelist-saltdiet	131929272	37.365786	64792	0.096040
ROW	clbsfs03	cells-clb-ss-freelist-saltdiet	77637545	23.199754	96739	0.156066
ROW	clbslp01	cells-clb-ss-lru-plain	2274402	1.307925	84810	0.075563
ROW	clbslp02	cells-clb-ss-lru-plain	3170590	1.501660	88338	0.093193
ROW	clbslp03	cells-clb-ss-lru-plain	1555036	0.769053	58406	0.084870
ROW	clbsls01	cells-clb-ss-lru-saltdiet	13426466	4.707830	68257	0.120644
ROW	clbsls02	cells-clb-ss-lru-saltdiet	22844041	7.178778	65123	0.098664
ROW	clbsls03	cells-clb-ss-lru-saltdiet	20684958	6.555686	98761	0.109417
ROW	clbszp01	cells-clb-ss-lzw-plain	3780135	1.775594	62094	0.110642
ROW	clbszp02	cells-clb-ss-lzw-plain	3090571	1.668643	57794	0.080508
ROW	clbszp03	cells-clb-ss-lzw-plain	3498829	2.164176	56678	0.129015
ROW	clbszs01	cells-clb-ss-lzw-saltdiet	30146443	10.386993	63971	0.091176
ROW	clbszs02	cells-clb-ss-lzw-saltdiet	134611589	37.199265	67065	0.113075
ROW	clbszs03	cells-clb-ss-lzw-saltdiet	25304132	12.258874	64708	0.096353
ROW	clbucp01	cells-clb-sbs-crc32-plain	1539671	0.790540	87668	0.146053
ROW	clbucp02	cells-clb-sbs-crc32-plain	1971084	0.937175	84593	0.074957
ROW	clbucp03	cells-clb-sbs-crc32-plain	2950407	1.399576	91590	0.164300
ROW	clbucs01	cells-clb-sbs-crc32-saltdiet	9951636	3.763384	99422	0.176158
ROW	clbucs02	cells-clb-sbs-crc32-saltdiet	7968583	3.254029	94962	0.091760
ROW	clbucs03	cells-clb-sbs-crc32-saltdiet	12218054	4.267839	99916	0.115268
ROW	clbufp01	cells-clb-sbs-freelist-plain	5075368	2.265183	84864	0.075637
ROW	clbufp02	cells-clb-sbs-freelist-plain	5406354	2.862331	56974	0.074447
ROW	clbufp03	cells-clb-sbs-freelist-plain	4200035	2.173826	84667	0.075452
ROW	clbufs01	cells-clb-sbs-freelist-saltdiet	142780564	38.485462	95821	0.095223
ROW	clbufs02	cells-clb-sbs-freelist-saltdiet	140633305	37.347834	66873	0.110418
ROW	clbufs03	cells-clb-sbs-freelist-saltdiet	136762948	37.446051	64743	0.152245
ROW	clbulp01	cells-clb-sbs-lru-plain	2057858	1.021582	55828	0.065874
ROW	clbulp02	cells-clb-sbs-lru-plain	2404775	1.036699	55768	0.065288
ROW	clbulp03	cells-clb-sbs-lru-plain	1726475	0.847203	58603	0.085270
ROW	clbuls01	cells-clb-sbs-lru-saltdiet	9676633	3.891449	98780	0.109302
ROW	clbuls02	cells-clb-sbs-lru-saltdiet	14474177	5.083602	97470	0.183439
ROW	clbuls03	cells-clb-sbs-lru-saltdiet	14461823	5.455611	102414	0.127282
ROW	clbuzp01	cells-clb-sbs-lzw-plain	2557015	1.663199	84658	0.131712
ROW	clbuzp02	cells-clb-sbs-lzw-plain	3985318	2.108106	90235	0.101781
ROW	clbuzp03	cells-clb-sbs-lzw-plain	2345517	1.384181	57613	0.135399
ROW	clbuzs01	cells-clb-sbs-lzw-saltdiet	22129015	8.791571	101409	0.122438
ROW	clbuzs02	cells-clb-sbs-lzw-saltdiet	66603585	21.379111	96790	0.100426
ROW	clbuzs03	cells-clb-sbs-lzw-saltdiet	58538638	18.057455	63167	0.085234
ROW	clbocp01	cells-clb-o-crc32-plain	5215455	6.479124	50661	0.143242
ROW	clbocp02	cells-clb-o-crc32-plain	6772312	6.557992	50598	0.142477
ROW	clbocp03	cells-clb-o-crc32-plain	9556019	8.941491	33023	0.123832
ROW	clbocs01	cells-clb-o-crc32-saltdiet	7721643	8.251569	60560	0.179492
ROW	clbocs02	cells-clb-o-crc32-saltdiet	7266645	7.440388	60733	0.179523
ROW	clbocs03	cells-clb-o-crc32-saltdiet	6274927	6.329223	60771	0.180330
ROW	clbofp01	cells-clb-o-freelist-plain	25631257	20.842751	50857	0.144255
ROW	clbofp02	cells-clb-o-freelist-plain	13000752	14.664247	33088	0.123162
ROW	clbofp03	cells-clb-o-freelist-plain	20213886	18.512072	50806	0.143387
ROW	clbofs01	cells-clb-o-freelist-saltdiet	41690229	35.103621	60587	0.240529
ROW	clbofs02	cells-clb-o-freelist-saltdiet	41302471	37.398071	60811	0.181089
ROW	clbofs03	cells-clb-o-freelist-saltdiet	47668811	37.063982	60774	0.240955
ROW	clbolp01	cells-clb-o-lru-plain	5917805	6.910997	50541	0.202921
ROW	clbolp02	cells-clb-o-lru-plain	8129850	8.023206	50635	0.143406
ROW	clbolp03	cells-clb-o-lru-plain	7756494	8.163258	50676	0.141618
ROW	clbols01	cells-clb-o-lru-saltdiet	21571874	18.824898	60722	0.241482
ROW	clbols02	cells-clb-o-lru-saltdiet	10091314	9.344611	60517	0.180250
ROW	clbols03	cells-clb-o-lru-saltdiet	16866653	14.854561	60465	0.179109
ROW	clbopp01	cells-clb-o-paxos-plain	16142912	15.716401	50878	0.144957
ROW	clbopp02	cells-clb-o-paxos-plain	11720910	12.702097	50811	0.143491
ROW	clbopp03	cells-clb-o-paxos-plain	8909395	12.931337	50821	0.204045
ROW	clbops01	cells-clb-o-paxos-saltdiet	41410749	32.042888	60498	0.178541
ROW	clbops02	cells-clb-o-paxos-saltdiet	42066313	30.166659	60556	0.179637
ROW	clbops03	cells-clb-o-paxos-saltdiet	48644483	35.957959	60477	0.178215
ROW	clbozp01	cells-clb-o-lzw-plain	6952664	9.963134	50829	0.143923
ROW	clbozp02	cells-clb-o-lzw-plain	12830519	12.357354	33016	0.184134
ROW	clbozp03	cells-clb-o-lzw-plain	6916767	7.940477	50609	0.142634
ROW	clbozs01	cells-clb-o-lzw-saltdiet	15039986	15.749682	60577	0.240155
ROW	clbozs02	cells-clb-o-lzw-saltdiet	24469423	23.021136	60542	0.179094
ROW	clbozs03	cells-clb-o-lzw-saltdiet	15587218	14.589725	60705	0.239397
ROW	clbtcp01	cells-clb-os-crc32-plain	9954081	9.549037	50860	0.143555
ROW	clbtcs01	cells-clb-os-crc32-saltdiet	7718665	6.876538	60839	0.181108
ROW	clbtcs02	cells-clb-os-crc32-saltdiet	7189594	7.085053	60798	0.180252
ROW	clbtcs03	cells-clb-os-crc32-saltdiet	6697163	6.388616	60919	0.182585
ROW	clbtfp01	cells-clb-os-freelist-plain	22175344	22.915165	50720	0.143631
ROW	clbtfp02	cells-clb-os-freelist-plain	18836426	19.429851	50676	0.143032
ROW	clbtfp03	cells-clb-os-freelist-plain	15221478	14.788646	33003	0.122811
ROW	clbtfs01	cells-clb-os-freelist-saltdiet	48365675	36.040916	60819	0.180794
ROW	clbtfs02	cells-clb-os-freelist-saltdiet	35819263	29.439041	60805	0.180600
ROW	clbtfs03	cells-clb-os-freelist-saltdiet	35733835	27.580492	60820	0.241164
ROW	clbtlp01	cells-clb-os-lru-plain	10531059	10.216115	50655	0.143522
ROW	clbtlp02	cells-clb-os-lru-plain	9697166	10.552949	50587	0.142662
ROW	clbtlp03	cells-clb-os-lru-plain	8162899	7.901960	50619	0.142362
ROW	clbtls01	cells-clb-os-lru-saltdiet	16946721	14.820486	60684	0.179711
ROW	clbtls02	cells-clb-os-lru-saltdiet	16013977	13.964099	60727	0.180732
ROW	clbtls03	cells-clb-os-lru-saltdiet	15582501	14.413060	60746	0.181005
ROW	clbtzp01	cells-clb-os-lzw-plain	17532289	16.414973	50700	0.143854
ROW	clbtzp02	cells-clb-os-lzw-plain	12673696	13.323999	50888	0.144797
ROW	clbtzp03	cells-clb-os-lzw-plain	10000530	10.297812	50899	0.144530
ROW	clbtzs01	cells-clb-os-lzw-saltdiet	17498047	17.717814	60669	0.181138
ROW	clbtzs02	cells-clb-os-lzw-saltdiet	14834040	13.773378	60679	0.180884
ROW	clbtzs03	cells-clb-os-lzw-saltdiet	26891177	23.130678	60600	0.179478
