# final_T / final_COST INCLUDE THE HARNESS'S OWN SANDBOX PROBE	the per-cell meter sums every session under the cell's slug, and a sandbox probe runs under that same slug before each launch; clb_harvest.split_slug separates them, cell_meter does not, and these columns come from cell_meter	MEASURED 2026-09-22 over 180 cells with those two tools and no reimplementation (desk VX): the probe is 0.25%-18.52% of final_COST (median 2.58% in the Sonnet blocks, 1.27% in the Opus blocks) and a median 3.2x SMALLER share of final_T, so checking this in tokens understates it threefold. Its ABSOLUTE cost is near-constant ($0.065-$0.287), so any ratio taken BETWEEN ARMS carries it: plain:salt-diet COST was inflated in 22 of 22 matched block/problem groups, median +5.2%, max +13.0%, understating salt-diet's cost disadvantage. AN ABSOLUTE FIGURE IN THESE COLUMNS IS THE TASK PLUS THE PROBE.
cell	problem	arm	field	extras	run_state	suite	tests	V1_bugs_fixed	bugs_introduced	class	retained	surv	growth	seed_lines	end_lines	kept	w1_fenced	end_from	final_T	final_COST	cap_unit	cap	capped	model_served
clbufs02	FreeList	salt-diet	brownfield	statement	ENDED: CAP-COST	BUILD-FAIL	0/0	UNMEASURED	UNMEASURED	REPLACED	0.119	0.646	9.85	192	1891	124	COVERED	working tree	140700178	37.4583	COST	37.21	yes	claude-sonnet-5
clbufs03	FreeList	salt-diet	brownfield	statement	ENDED: CAP-COST	PASS	7/7	1 of 1	>=0 (suite-limited)	REPLACED	0.102	0.854	15.77	192	3027	164	COVERED	working tree	136827691	37.5983	COST	37.21	yes	claude-sonnet-5
clbulp01	LRU	plain	brownfield	statement	ENDED: LANDED	PASS	16/16	6 of 6	>=0 (suite-limited)	REPAIRED	0.981	0.990	1.02	102	104	101	COVERED	HEAD	2113686	1.0875	COST	37.21	no	claude-sonnet-5
clbulp02	LRU	plain	brownfield	statement	ENDED: LANDED	PASS	16/16	6 of 6	>=0 (suite-limited)	REPAIRED	0.976	0.990	1.03	102	105	101	COVERED	HEAD	2460543	1.1020	COST	37.21	no	claude-sonnet-5
clbulp03	LRU	plain	brownfield	statement	ENDED: LANDED	PASS	16/16	6 of 6	>=0 (suite-limited)	REPAIRED	0.981	0.990	1.02	102	104	101	COVERED	HEAD	1785078	0.9325	COST	37.21	no	claude-sonnet-5
clbuls01	LRU	salt-diet	brownfield	statement	ENDED: LANDED	PASS	16/16	6 of 6	>=0 (suite-limited)	REPAIRED	0.256	0.824	5.43	102	554	84	COVERED	HEAD	9775413	4.0008	COST	37.21	no	claude-sonnet-5
clbuls02	LRU	salt-diet	brownfield	statement	ENDED: LANDED	PASS	16/16	6 of 6	>=0 (suite-limited)	REPAIRED	0.279	0.882	5.33	102	544	90	COVERED	HEAD	14571647	5.2670	COST	37.21	no	claude-sonnet-5
clbuls03	LRU	salt-diet	brownfield	statement	ENDED: LANDED	PASS	16/16	6 of 6	>=0 (suite-limited)	REPAIRED	0.239	0.676	4.66	102	475	69	COVERED	HEAD	14564237	5.5829	COST	37.21	no	claude-sonnet-5
clbuzp01	LZW	plain	brownfield	statement	ENDED: LANDED	PASS	8/8	5 of 5	>=0 (suite-limited)	REPAIRED	0.741	0.700	0.89	100	89	70	COVERED	HEAD	2641673	1.7949	COST	37.21	no	claude-sonnet-5
clbuzp02	LZW	plain	brownfield	statement	ENDED: LANDED	PASS	8/8	5 of 5	>=0 (suite-limited)	REPAIRED	0.832	0.820	0.97	100	97	82	COVERED	HEAD	4075553	2.2099	COST	37.21	no	claude-sonnet-5
clbuzp03	LZW	plain	brownfield	statement	ENDED: LANDED	PASS	8/8	5 of 5	>=0 (suite-limited)	REPAIRED	0.611	0.590	0.93	100	93	59	COVERED	HEAD	2403130	1.5196	COST	37.21	no	claude-sonnet-5
clbuzs01	LZW	salt-diet	brownfield	statement	ENDED: LANDED	PASS	8/8	5 of 5	>=0 (suite-limited)	REPLACED	0.140	0.740	9.57	100	957	74	COVERED	HEAD	22230424	8.9140	COST	37.21	no	claude-sonnet-5
clbuzs02	LZW	salt-diet	brownfield	statement	ENDED: LANDED	PASS	8/8	5 of 5	>=0 (suite-limited)	REPLACED	0.121	0.670	10.04	100	1004	67	COVERED	HEAD	66700375	21.4795	COST	37.21	no	claude-sonnet-5
clbuzs03	LZW	salt-diet	brownfield	statement	ENDED: LANDED	PASS	8/8	5 of 5	>=0 (suite-limited)	REPLACED	0.101	0.680	12.50	100	1250	68	COVERED	HEAD	58601805	18.1427	COST	37.21	no	claude-sonnet-5
