# final_T / final_COST INCLUDE THE HARNESS'S OWN SANDBOX PROBE	the per-cell meter sums every session under the cell's slug, and a sandbox probe runs under that same slug before each launch; clb_harvest.split_slug separates them, cell_meter does not, and these columns come from cell_meter	MEASURED 2026-09-22 over 180 cells with those two tools and no reimplementation (desk VX): the probe is 0.25%-18.52% of final_COST (median 2.58% in the Sonnet blocks, 1.27% in the Opus blocks) and a median 3.2x SMALLER share of final_T, so checking this in tokens understates it threefold. Its ABSOLUTE cost is near-constant ($0.065-$0.287), so any ratio taken BETWEEN ARMS carries it: plain:salt-diet COST was inflated in 22 of 22 matched block/problem groups, median +5.2%, max +13.0%, understating salt-diet's cost disadvantage. AN ABSOLUTE FIGURE IN THESE COLUMNS IS THE TASK PLUS THE PROBE.
cell	problem	arm	field	extras	run_state	suite	tests	V1_bugs_fixed	bugs_introduced	class	retained	surv	growth	seed_lines	end_lines	kept	w1_fenced	end_from	final_T	final_COST	cap_unit	cap	capped	model_served
clbtlp01	LRU	plain	brownfield	statement	ENDED: LANDED	PASS	16/16	6 of 6	>=0 (suite-limited)	REPAIRED	0.551	0.922	2.34	102	239	94	COVERED	HEAD	10581714	10.3596	COST	37.21	no	claude-opus-5
clbtlp02	LRU	plain	brownfield	statement	ENDED: LANDED	PASS	16/16	6 of 6	>=0 (suite-limited)	REPAIRED	0.307	0.676	3.40	102	347	69	COVERED	HEAD	9747753	10.6956	COST	37.21	no	claude-opus-5
clbtlp03	LRU	plain	brownfield	statement	ENDED: LANDED	PASS	16/16	6 of 6	>=0 (suite-limited)	REPAIRED	0.583	0.951	2.26	102	231	97	COVERED	HEAD	8213518	8.0443	COST	37.21	no	claude-opus-5
clbtls01	LRU	salt-diet	brownfield	statement	ENDED: LANDED	PASS	16/16	6 of 6	>=0 (suite-limited)	REPLACED	0.169	0.873	9.31	102	950	89	COVERED	HEAD	17007405	15.0002	COST	37.21	no	claude-opus-5
clbtls02	LRU	salt-diet	brownfield	statement	ENDED: LANDED	PASS	16/16	6 of 6	>=0 (suite-limited)	REPLACED	0.136	0.657	8.67	102	884	67	COVERED	HEAD	16074704	14.1448	COST	37.21	no	claude-opus-5
clbtls03	LRU	salt-diet	brownfield	statement	ENDED: LANDED	PASS	16/16	6 of 6	>=0 (suite-limited)	REPLACED	0.164	0.755	8.22	102	838	77	COVERED	HEAD	15643247	14.5941	COST	37.21	no	claude-opus-5
clbtzp01	LZW	plain	brownfield	statement	ENDED: LANDED	PASS	8/8	5 of 5	>=0 (suite-limited)	REPLACED	0.186	0.300	2.23	100	223	30	COVERED	HEAD	17582989	16.5588	COST	37.21	no	claude-opus-5
clbtzp02	LZW	plain	brownfield	statement	ENDED: LANDED	PASS	8/8	5 of 5	>=0 (suite-limited)	REPAIRED	0.322	0.480	1.98	100	198	48	COVERED	HEAD	12724584	13.4688	COST	37.21	no	claude-opus-5
clbtzp03	LZW	plain	brownfield	statement	ENDED: LANDED	PASS	8/8	5 of 5	>=0 (suite-limited)	REPAIRED	0.429	0.570	1.66	100	166	57	COVERED	HEAD	10051429	10.4423	COST	37.21	no	claude-opus-5
clbtzs01	LZW	salt-diet	brownfield	statement	ENDED: LANDED	PASS	8/8	5 of 5	>=0 (suite-limited)	REPLACED	0.071	0.500	13.00	100	1300	50	COVERED	HEAD	17558716	17.8990	COST	37.21	no	claude-opus-5
clbtzs02	LZW	salt-diet	brownfield	statement	ENDED: LANDED	PASS	8/8	5 of 5	>=0 (suite-limited)	REPLACED	0.110	0.620	10.27	100	1027	62	COVERED	HEAD	14894719	13.9543	COST	37.21	no	claude-opus-5
clbtzs03	LZW	salt-diet	brownfield	statement	ENDED: LANDED	PASS	8/8	5 of 5	>=0 (suite-limited)	REPLACED	0.054	0.360	12.45	100	1245	36	COVERED	HEAD	26951777	23.3102	COST	37.21	no	claude-opus-5
