# BROWNFIELD-SEED-BASELINE.tsv — §B3's BASELINE, the deliverable row 4 names.
# The withheld suite run against the SEED, per problem, BEFORE any cell. Taken from the run's own
# output, not retyped. bugs_fixed = a RED-at-baseline test going GREEN at end (this is V1).
# bugs_introduced = any test GREEN HERE going RED at end.
# ⛔ WITHOUT THIS FILE `bugs_introduced` silently becomes "tests failing at end", which counts the
#   PLANTED DEFECT ITSELF as introduced.
# ⛔ AND `bugs_introduced = 0` IS A FLOOR, NEVER A ZERO: these suites score 1.000 against mutants
#   authored beside them, with seven dying by a SINGLE test. Report `>= 0 (suite-limited)` with the margin.
#
problem	test	baseline	seed_sha256
Paxos	fresh_quorum_proposes_own_value — is_chosen(0) = true, expected false	RED	1ce92803be426d3213238274c29e92e53a62d792b431c93356d1e9c7fa1f871d
Paxos	same_value_two_ballots_not_chosen — is_chosen(0) = true, expected false	RED	1ce92803be426d3213238274c29e92e53a62d792b431c93356d1e9c7fa1f871d
Paxos	then_majority_at_one_ballot_chosen	GREEN	1ce92803be426d3213238274c29e92e53a62d792b431c93356d1e9c7fa1f871d
Paxos	neg_accept_from_initial	GREEN	1ce92803be426d3213238274c29e92e53a62d792b431c93356d1e9c7fa1f871d
Paxos	neg_promise_without_prepare	GREEN	1ce92803be426d3213238274c29e92e53a62d792b431c93356d1e9c7fa1f871d
Paxos	neg_propose_empty_quorum	GREEN	1ce92803be426d3213238274c29e92e53a62d792b431c93356d1e9c7fa1f871d
Paxos	neg_propose_minority_quorum — illegal step ADMITTED: Propose { prop: 0, bal: 0, val: 0, quorum: [0] }	RED	1ce92803be426d3213238274c29e92e53a62d792b431c93356d1e9c7fa1f871d
Paxos	neg_accept_below_promise	GREEN	1ce92803be426d3213238274c29e92e53a62d792b431c93356d1e9c7fa1f871d
Paxos	exploration_agreement_and_validity — AGREEMENT violated: values 0 and 1 are both chosen	RED	1ce92803be426d3213238274c29e92e53a62d792b431c93356d1e9c7fa1f871d
LRU	capacity_and_empty_start	GREEN	d9b2f3d364f3a6c600f450b931cd2c3b08ec4ac8801dedb974180de9ab653680
LRU	hit_moves_to_front	RED	d9b2f3d364f3a6c600f450b931cd2c3b08ec4ac8801dedb974180de9ab653680
LRU	evicts_lru	RED	d9b2f3d364f3a6c600f450b931cd2c3b08ec4ac8801dedb974180de9ab653680
LRU	evicted_key_is_gone	RED	d9b2f3d364f3a6c600f450b931cd2c3b08ec4ac8801dedb974180de9ab653680
LRU	no_touch_evicts_oldest	GREEN	d9b2f3d364f3a6c600f450b931cd2c3b08ec4ac8801dedb974180de9ab653680
LRU	put_existing_updates	GREEN	d9b2f3d364f3a6c600f450b931cd2c3b08ec4ac8801dedb974180de9ab653680
LRU	put_existing_when_full	GREEN	d9b2f3d364f3a6c600f450b931cd2c3b08ec4ac8801dedb974180de9ab653680
LRU	capacity_one	GREEN	d9b2f3d364f3a6c600f450b931cd2c3b08ec4ac8801dedb974180de9ab653680
LRU	length_within_capacity	GREEN	d9b2f3d364f3a6c600f450b931cd2c3b08ec4ac8801dedb974180de9ab653680
LRU	repeated_touches	RED	d9b2f3d364f3a6c600f450b931cd2c3b08ec4ac8801dedb974180de9ab653680
LRU	miss_returns_none	GREEN	d9b2f3d364f3a6c600f450b931cd2c3b08ec4ac8801dedb974180de9ab653680
LRU	keeps_everything_below_capacity	GREEN	d9b2f3d364f3a6c600f450b931cd2c3b08ec4ac8801dedb974180de9ab653680
LRU	observers_do_not_disturb	GREEN	d9b2f3d364f3a6c600f450b931cd2c3b08ec4ac8801dedb974180de9ab653680
LRU	random_vs_oracle	RED	d9b2f3d364f3a6c600f450b931cd2c3b08ec4ac8801dedb974180de9ab653680
LRU	random_eviction_heavy	RED	d9b2f3d364f3a6c600f450b931cd2c3b08ec4ac8801dedb974180de9ab653680
LRU	random_keys_unique_and_bounded	GREEN	d9b2f3d364f3a6c600f450b931cd2c3b08ec4ac8801dedb974180de9ab653680
FreeList	new_then_one	GREEN	4ebaf3df8b2a10c1c441f862c1cb08e096d70dad3bd8fb5f96c4a45a9b2afd70
FreeList	alignment	GREEN	4ebaf3df8b2a10c1c441f862c1cb08e096d70dad3bd8fb5f96c4a45a9b2afd70
FreeList	remainder_available	GREEN	4ebaf3df8b2a10c1c441f862c1cb08e096d70dad3bd8fb5f96c4a45a9b2afd70
FreeList	fill_survives	GREEN	4ebaf3df8b2a10c1c441f862c1cb08e096d70dad3bd8fb5f96c4a45a9b2afd70
FreeList	exhaust_and_recover	RED	4ebaf3df8b2a10c1c441f862c1cb08e096d70dad3bd8fb5f96c4a45a9b2afd70
FreeList	completeness	GREEN	4ebaf3df8b2a10c1c441f862c1cb08e096d70dad3bd8fb5f96c4a45a9b2afd70
FreeList	random_soak	GREEN	4ebaf3df8b2a10c1c441f862c1cb08e096d70dad3bd8fb5f96c4a45a9b2afd70
Crc32	check_value	RED	06b059fe9b0b0d6f18a001be98a29ae9fa8e6dfad2424b714ad8df2784b17b49
Crc32	published_vectors	RED	06b059fe9b0b0d6f18a001be98a29ae9fa8e6dfad2424b714ad8df2784b17b49
Crc32	long_and_all_byte_values	RED	06b059fe9b0b0d6f18a001be98a29ae9fa8e6dfad2424b714ad8df2784b17b49
Crc32	lengths	RED	06b059fe9b0b0d6f18a001be98a29ae9fa8e6dfad2424b714ad8df2784b17b49
Crc32	random_cross_check	RED	06b059fe9b0b0d6f18a001be98a29ae9fa8e6dfad2424b714ad8df2784b17b49
Crc32	repeatable_and_stateless	GREEN	06b059fe9b0b0d6f18a001be98a29ae9fa8e6dfad2424b714ad8df2784b17b49
