id	leg	cond	served	problem	arm	m3record	dispatchedP1	foldbus	payloadsha	p1_end	p2_end	p1_turns	p2_turns	p2_wall_s	p2_false_done	p2_caps	score_status	verdict	TESTS	REGRESSIONS	CLAUSE_TESTS	declared_after_P1	score_receipt	adds_src
l8cpss02	Crc32-pro	Crc32-salt-diet	gemini-3.1-pro-high	Crc32	salt-diet	l8cpss02 PASS shell-ok+fence-ok	1	0	6db96d0778e8cb19	2026-09-24T09:34:45Z LANDED landing-1 e98fdc65c729	2026-09-24T10:15:33Z LANDED landing-2 0c128c859cd4 declared-after-P1=yes	4	4	380.7	0	max_turns:40,max_wall:21600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	10/10	0/6	0/4	declared-after-P1=yes	l8u-Crc32-pro-2026-09-23-score/cells-l8-crc32-pro-salt-sc.p2.score.txt	l8u-2026-09-23/harvest-Crc32-pro/l8-cells.tsv
l8cpss03	Crc32-pro	Crc32-salt-diet	gemini-3.1-pro-high	Crc32	salt-diet	UNREAD	UNREAD	UNREAD	UNREAD	2026-09-24T11:47:51Z PERSIST-INDETERMINATE phase-1 the subject gave NO answer on the final turn, so persistence could not be read (not a half-life measurement)	UNREAD	4	UNREAD	?	?	max_turns:40,max_wall:21600,print_timeout:1800s,turn_timeout:2100	UNREAD	UNREAD	UNREAD	UNREAD	UNREAD	UNREAD	UNREAD	l8u-2026-09-23/harvest-Crc32-pro/l8-cells.tsv
l8rfpb01	LRU-flash	LRU-plain	gemini-3.8-flash-high	LRU	plain	l8rfpb01 PASS shell-ok+fence-ok	1	0	ee97e96d54f11acd	2026-09-24T02:42:47Z LANDED landing-1 74bea16d06c4	2026-09-24T03:21:02Z LANDED landing-2 30f56a248165 declared-after-P1=yes	4	3	411.3	0	max_turns:40,max_wall:21600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	23/23	0/16	0/7	declared-after-P1=yes	l8u-LRU-flash-2026-09-23-score/cells-l8-lru-flash-plain-sc-b.p2.score.txt	l8u-2026-09-23/harvest-LRU-flash/l8-cells.tsv
l8rfpb02	LRU-flash	LRU-plain	gemini-3.8-flash-high	LRU	plain	l8rfpb02 PASS shell-ok+fence-ok	1	0	ee97e96d54f11acd	2026-09-24T03:26:49Z LANDED landing-1 9103b4034bb3	2026-09-24T03:33:46Z LANDED landing-2 d618fb1a334b declared-after-P1=yes	4	4	401.1	0	max_turns:40,max_wall:21600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	23/23	0/16	0/7	declared-after-P1=yes	l8u-LRU-flash-2026-09-23-score/cells-l8-lru-flash-plain-sc-b.p2.score.txt	l8u-2026-09-23/harvest-LRU-flash/l8-cells.tsv
l8rfss01	LRU-flash	LRU-salt-diet	gemini-3.8-flash-high	LRU	salt-diet	l8rfss01 PASS shell-ok+fence-ok	1	0	ee97e96d54f11acd	2026-09-24T04:30:48Z LANDED landing-1 9b2b1c9d37fd	2026-09-24T05:16:02Z LANDED landing-2 d83f02770a37 declared-after-P1=yes	4	4	591.6	0	max_turns:40,max_wall:21600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	23/23	0/16	0/7	declared-after-P1=yes	l8u-LRU-flash-2026-09-23-score/cells-l8-lru-flash-salt-sc.p2.score.txt	l8u-2026-09-23/harvest-LRU-flash/l8-cells.tsv
l8rfss02	LRU-flash	LRU-salt-diet	gemini-3.8-flash-high	LRU	salt-diet	l8rfss02 PASS shell-ok+fence-ok	1	0	ee97e96d54f11acd	2026-09-24T05:32:42Z LANDED landing-1 02abe1a0e07c	2026-09-24T06:13:08Z LANDED landing-2 fc07ab4c8a58 declared-after-P1=yes	3	4	652.5	0	max_turns:40,max_wall:21600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	23/23	0/16	0/7	declared-after-P1=yes	l8u-LRU-flash-2026-09-23-score/cells-l8-lru-flash-salt-sc.p2.score.txt	l8u-2026-09-23/harvest-LRU-flash/l8-cells.tsv
l8rfss03	LRU-flash	LRU-salt-diet	gemini-3.8-flash-high	LRU	salt-diet	l8rfss03 PASS shell-ok+fence-ok	1	0	ee97e96d54f11acd	2026-09-24T06:29:41Z LANDED landing-1 2e651d88182c	2026-09-24T07:11:22Z LANDED landing-2 99ed8eb7b35d declared-after-P1=yes	4	4	791.1	0	max_turns:40,max_wall:21600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	23/23	0/16	0/7	declared-after-P1=yes	l8u-LRU-flash-2026-09-23-score/cells-l8-lru-flash-salt-sc.p2.score.txt	l8u-2026-09-23/harvest-LRU-flash/l8-cells.tsv
l8rppr01	LRU-pro-rp	LRU-plain	gemini-3.1-pro-high	LRU	plain	l8rppr01 PASS shell-ok+fence-ok	1	0	ee97e96d54f11acd	2026-09-24T01:42:27Z LANDED landing-1 f83fd9ada51f	2026-09-24T02:21:27Z LANDED landing-2 c31ea77dcc0f declared-after-P1=yes	3	3	196.6	0	max_turns:40,max_wall:21600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	23/23	0/16	0/7	declared-after-P1=yes	l8u-LRU-pro-rp-2026-09-23-score/cells-l8-lru-pro-plain-sc-rerun.p2.score.txt	l8u-2026-09-23/harvest-LRU-pro-rp/l8-cells.tsv
l8rppr02	LRU-pro-rp	LRU-plain	gemini-3.1-pro-high	LRU	plain	l8rppr02 PASS shell-ok+fence-ok	1	0	ee97e96d54f11acd	2026-09-24T02:25:15Z LANDED landing-1 d9f5046564f7	2026-09-24T02:28:15Z LANDED landing-2 18fb2f1a71fb declared-after-P1=yes	3	4	164.6	0	max_turns:40,max_wall:21600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	23/23	0/16	0/7	declared-after-P1=yes	l8u-LRU-pro-rp-2026-09-23-score/cells-l8-lru-pro-plain-sc-rerun.p2.score.txt	l8u-2026-09-23/harvest-LRU-pro-rp/l8-cells.tsv
l8rppr03	LRU-pro-rp	LRU-plain	gemini-3.1-pro-high	LRU	plain	l8rppr03 PASS shell-ok+fence-ok	1	0	ee97e96d54f11acd	2026-09-24T02:31:50Z LANDED landing-1 00fe9bc0f3b0	2026-09-24T02:35:32Z LANDED landing-2 fecaf2413afd declared-after-P1=yes	3	3	206.2	0	max_turns:40,max_wall:21600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	23/23	0/16	0/7	declared-after-P1=yes	l8u-LRU-pro-rp-2026-09-23-score/cells-l8-lru-pro-plain-sc-rerun.p2.score.txt	l8u-2026-09-23/harvest-LRU-pro-rp/l8-cells.tsv
l8rpsra201	LRU-pro-rr	LRU-salt-diet	gemini-3.1-pro-high	LRU	salt-diet	l8rpsra201 PASS shell-ok+fence-ok	1	0	ee97e96d54f11acd	2026-09-23T22:53:41Z LANDED landing-1 542522815efa	2026-09-23T23:05:25Z LANDED landing-2 1d3d95a19416 declared-after-P1=yes	4	3	687.4	0	max_turns:40,max_wall:21600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	23/23	0/16	0/7	declared-after-P1=yes	l8u-LRU-pro-rr-2026-09-23-score/cells-l8-lru-pro-salt-sc-rerun-a2.p2.score.txt	l8u-2026-09-23/harvest-LRU-pro-rr/byhand-adds-a2/l8-cells.tsv
l8rpsra202	LRU-pro-rr	LRU-salt-diet	gemini-3.1-pro-high	LRU	salt-diet	l8rpsra202 PASS shell-ok+fence-ok	1	0	ee97e96d54f11acd	2026-09-23T23:57:21Z LANDED landing-1 677c227ea567	2026-09-24T00:37:07Z LANDED landing-2 083ae20f2fc7 declared-after-P1=yes	4	3	651.6	0	max_turns:40,max_wall:21600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	23/23	0/16	0/7	declared-after-P1=yes	l8u-LRU-pro-rr-2026-09-23-score/cells-l8-lru-pro-salt-sc-rerun-a2.p2.score.txt	l8u-2026-09-23/harvest-LRU-pro-rr/byhand-adds-a2/l8-cells.tsv
l8rpsra203	LRU-pro-rr	LRU-salt-diet	gemini-3.1-pro-high	LRU	salt-diet	l8rpsra203 PASS shell-ok+fence-ok	1	0	ee97e96d54f11acd	2026-09-24T01:03:01Z LANDED landing-1 93cda8291642	2026-09-24T01:29:17Z LANDED landing-2 a9780c08afe2 declared-after-P1=yes	4	3	421.9	0	max_turns:40,max_wall:21600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	23/23	0/16	0/7	declared-after-P1=yes	l8u-LRU-pro-rr-2026-09-23-score/cells-l8-lru-pro-salt-sc-rerun-a2.p2.score.txt	l8u-2026-09-23/harvest-LRU-pro-rr/byhand-adds-a2/l8-cells.tsv
