id	leg	cond	served	problem	arm	m3record	dispatchedP1	foldbus	payloadsha	p1_end	p2_end	p1_turns	p2_turns	p2_wall_s	p2_false_done	p2_caps	score_status	verdict	TESTS	REGRESSIONS	CLAUSE_TESTS	declared_after_P1	score_receipt	adds_src
l8ffsra203	FreeList-flash-rr	FreeList-salt-diet	gemini-3.8-flash-high	FreeList	salt-diet	l8ffsra203 PASS shell-ok+fence-ok	1	0	152d58075642ea3c	2026-09-25T04:42:22Z LANDED landing-1 bc2b742aed7e	2026-09-25T05:17:50Z LANDED landing-2 332de3306b4c declared-after-P1=yes	4	3	594.9	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	FAIL	8/9	1/7	0/2	declared-after-P1=yes	l8u-FreeList-flash-rr-2026-09-24-freelist-score/cells-l8-freelist-flash-salt-sc-rerun-a2.p2.score.txt	l8u-2026-09-24-freelist/harvest-FreeList-flash-rr/l8-cells.tsv
l8fppr01	FreeList-pro-rr	FreeList-plain	gemini-3.1-pro-high	FreeList	plain	l8fppr01 PASS shell-ok+fence-ok	1	0	152d58075642ea3c	2026-09-24T18:31:22Z LANDED landing-1 43f2a78c2a5a	2026-09-24T18:35:25Z LANDED landing-2 237f63eead58 declared-after-P1=yes	3	4	226.5	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	9/9	0/7	0/2	declared-after-P1=yes	l8u-FreeList-pro-rr-2026-09-24-freelist-score/cells-l8-freelist-pro-plain-sc-rerun.p2.score.txt	l8u-2026-09-24-freelist/harvest-FreeList-pro-rr/l8-cells.tsv
l8fppr02	FreeList-pro-rr	FreeList-plain	gemini-3.1-pro-high	FreeList	plain	l8fppr02 PASS shell-ok+fence-ok	1	0	152d58075642ea3c	2026-09-24T18:41:23Z LANDED landing-1 9f55f269a748	2026-09-24T18:45:50Z LANDED landing-2 cbabd5a5a993 declared-after-P1=yes	3	3	250.3	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	FAIL	8/9	1/7	0/2	declared-after-P1=yes	l8u-FreeList-pro-rr-2026-09-24-freelist-score/cells-l8-freelist-pro-plain-sc-rerun.p2.score.txt	l8u-2026-09-24-freelist/harvest-FreeList-pro-rr/l8-cells.tsv
l8fppr03	FreeList-pro-rr	FreeList-plain	gemini-3.1-pro-high	FreeList	plain	l8fppr03 PASS shell-ok+fence-ok	1	0	152d58075642ea3c	2026-09-24T19:24:16Z LANDED landing-1 09744b1ef375	2026-09-24T19:28:48Z LANDED landing-2 208a137b2745 declared-after-P1=yes	3	3	255.5	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	FAIL	8/9	1/7	0/2	declared-after-P1=yes	l8u-FreeList-pro-rr-2026-09-24-freelist-score/cells-l8-freelist-pro-plain-sc-rerun.p2.score.txt	l8u-2026-09-24-freelist/harvest-FreeList-pro-rr/l8-cells.tsv
l8fpsr01	FreeList-pro-rr	FreeList-salt-diet	gemini-3.1-pro-high	FreeList	salt-diet	l8fpsr01 PASS shell-ok+fence-ok	1	0	152d58075642ea3c	2026-09-24T19:46:28Z LANDED landing-1 f1edef3db5a2	2026-09-24T20:26:09Z LANDED landing-2 66a1838fff16 declared-after-P1=yes	7	4	636.6	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	FAIL	8/9	0/7	1/2	declared-after-P1=yes	l8u-FreeList-pro-rr-2026-09-24-freelist-score/cells-l8-freelist-pro-salt-sc-rerun.p2.score.txt	l8u-2026-09-24-freelist/harvest-FreeList-pro-rr/l8-cells.tsv
l8fpsr02	FreeList-pro-rr	FreeList-salt-diet	gemini-3.1-pro-high	FreeList	salt-diet	l8fpsr02 PASS shell-ok+fence-ok	1	0	152d58075642ea3c	2026-09-24T21:39:33Z PERSIST-INDETERMINATE phase-1 the subject gave NO answer on the final turn, so persistence could not be read (not a half-life measurement)	2026-09-24T22:25:00Z LANDED landing-2 48d0a931a30b declared-after-P1=yes	5	4	1038.6	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	FAIL	8/9	1/7	0/2	declared-after-P1=yes	l8u-FreeList-pro-rr-2026-09-24-freelist-score/cells-l8-freelist-pro-salt-sc-rerun.p2.score.txt	l8u-2026-09-24-freelist/harvest-FreeList-pro-rr/l8-cells.tsv
l8fpsr03	FreeList-pro-rr	FreeList-salt-diet	gemini-3.1-pro-high	FreeList	salt-diet	l8fpsr03 PASS shell-ok+fence-ok	1	0	152d58075642ea3c	2026-09-24T23:22:43Z LANDED landing-1 6dbc25bbb3c8	2026-09-24T23:33:44Z LANDED landing-2 501b67bb9712 declared-after-P1=yes	5	4	643.6	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	BUILD-FAIL	0/0	ABSENT	ABSENT	declared-after-P1=yes	l8u-FreeList-pro-rr-2026-09-24-freelist-score/cells-l8-freelist-pro-salt-sc-rerun.p2.score.txt	l8u-2026-09-24-freelist/harvest-FreeList-pro-rr/l8-cells.tsv
l8zfpra201	LZW-flash-rr	LZW-plain	gemini-3.8-flash-high	LZW	plain	l8zfpra201 PASS shell-ok+fence-ok	1	0	b777bf53bf66ae65	2026-09-25T02:26:08Z LANDED landing-1 c7a5a53c9287	2026-09-25T02:33:40Z LANDED landing-2 4573f4fb5d0a declared-after-P1=yes	4	4	434.9	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	15/15	0/8	0/7	declared-after-P1=yes	l8u-LZW-flash-rr-2026-09-24-lzw-score/cells-l8-lzw-flash-plain-sc-rerun-a2.p2.score.txt	l8u-2026-09-24-lzw/harvest-LZW-flash-rr/l8-cells.tsv
l8zfpra202	LZW-flash-rr	LZW-plain	gemini-3.8-flash-high	LZW	plain	l8zfpra202 PASS shell-ok+fence-ok	1	0	b777bf53bf66ae65	2026-09-25T02:40:53Z LANDED landing-1 fd3ad6d9867d	2026-09-25T03:21:35Z LANDED landing-2 0df28d8d0710 declared-after-P1=yes	3	4	329.5	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	15/15	0/8	0/7	declared-after-P1=yes	l8u-LZW-flash-rr-2026-09-24-lzw-score/cells-l8-lzw-flash-plain-sc-rerun-a2.p2.score.txt	l8u-2026-09-24-lzw/harvest-LZW-flash-rr/l8-cells.tsv
l8zfpra203	LZW-flash-rr	LZW-plain	gemini-3.8-flash-high	LZW	plain	l8zfpra203 PASS shell-ok+fence-ok	1	0	b777bf53bf66ae65	2026-09-25T03:29:44Z LANDED landing-1 37cb3ee1df44	2026-09-25T03:38:38Z LANDED landing-2 b63b4e3a1fd1 declared-after-P1=yes	3	3	517.6	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	15/15	0/8	0/7	declared-after-P1=yes	l8u-LZW-flash-rr-2026-09-24-lzw-score/cells-l8-lzw-flash-plain-sc-rerun-a2.p2.score.txt	l8u-2026-09-24-lzw/harvest-LZW-flash-rr/l8-cells.tsv
l8zfsr01	LZW-flash-rr	LZW-salt-diet	gemini-3.8-flash-high	LZW	salt-diet	l8zfsr01 PASS shell-ok+fence-ok	1	0	b777bf53bf66ae65	2026-09-25T04:35:15Z LANDED landing-1 8d2123eba327	2026-09-25T05:19:15Z LANDED landing-2 45a41658a32e declared-after-P1=yes	4	3	681.4	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	15/15	0/8	0/7	declared-after-P1=yes	l8u-LZW-flash-rr-2026-09-24-lzw-score/cells-l8-lzw-flash-salt-sc-rerun.p2.score.txt	l8u-2026-09-24-lzw/harvest-LZW-flash-rr/l8-cells.tsv
l8zfsr02	LZW-flash-rr	LZW-salt-diet	gemini-3.8-flash-high	LZW	salt-diet	l8zfsr02 PASS shell-ok+fence-ok	1	0	b777bf53bf66ae65	2026-09-25T05:39:35Z LANDED landing-1 f42b3f00bc6b	2026-09-25T06:15:45Z LANDED landing-2 f4340b40c19a declared-after-P1=yes	3	3	720.5	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	15/15	0/8	0/7	declared-after-P1=yes	l8u-LZW-flash-rr-2026-09-24-lzw-score/cells-l8-lzw-flash-salt-sc-rerun.p2.score.txt	l8u-2026-09-24-lzw/harvest-LZW-flash-rr/l8-cells.tsv
l8zfsr03	LZW-flash-rr	LZW-salt-diet	gemini-3.8-flash-high	LZW	salt-diet	l8zfsr03 PASS shell-ok+fence-ok	1	0	b777bf53bf66ae65	2026-09-25T06:42:20Z LANDED landing-1 deb647569315	2026-09-25T07:11:23Z LANDED landing-2 3de1ab14bbab declared-after-P1=yes	3	3	689.7	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	15/15	0/8	0/7	declared-after-P1=yes	l8u-LZW-flash-rr-2026-09-24-lzw-score/cells-l8-lzw-flash-salt-sc-rerun.p2.score.txt	l8u-2026-09-24-lzw/harvest-LZW-flash-rr/l8-cells.tsv
l8zppr01	LZW-pro-rr	LZW-plain	gemini-3.1-pro-high	LZW	plain	l8zppr01 PASS shell-ok+fence-ok	1	0	b777bf53bf66ae65	2026-09-24T18:27:46Z LANDED landing-1 33afc1f864bb	2026-09-24T18:31:36Z LANDED landing-2 548b86942cf4 declared-after-P1=yes	3	4	212.6	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	15/15	0/8	0/7	declared-after-P1=yes	l8u-LZW-pro-rr-2026-09-24-lzw-score/cells-l8-lzw-pro-plain-sc-rerun.p2.score.txt	l8u-2026-09-24-lzw/harvest-LZW-pro-rr/l8-cells.tsv
l8zppr02	LZW-pro-rr	LZW-plain	gemini-3.1-pro-high	LZW	plain	l8zppr02 PASS shell-ok+fence-ok	1	0	b777bf53bf66ae65	2026-09-24T18:35:51Z LANDED landing-1 0092cf885174	2026-09-24T18:41:15Z LANDED landing-2 5f71791c43ce declared-after-P1=yes	3	4	307.9	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	15/15	0/8	0/7	declared-after-P1=yes	l8u-LZW-pro-rr-2026-09-24-lzw-score/cells-l8-lzw-pro-plain-sc-rerun.p2.score.txt	l8u-2026-09-24-lzw/harvest-LZW-pro-rr/l8-cells.tsv
l8zppr03	LZW-pro-rr	LZW-plain	gemini-3.1-pro-high	LZW	plain	l8zppr03 PASS shell-ok+fence-ok	1	0	b777bf53bf66ae65	2026-09-24T18:44:14Z LANDED landing-1 9fde0d99f453	2026-09-24T19:25:42Z LANDED landing-2 7ae2ce5c8933 declared-after-P1=yes	3	3	349.9	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	15/15	0/8	0/7	declared-after-P1=yes	l8u-LZW-pro-rr-2026-09-24-lzw-score/cells-l8-lzw-pro-plain-sc-rerun.p2.score.txt	l8u-2026-09-24-lzw/harvest-LZW-pro-rr/l8-cells.tsv
l8zpsr01	LZW-pro-rr	LZW-salt-diet	gemini-3.1-pro-high	LZW	salt-diet	l8zpsr01 PASS shell-ok+fence-ok	1	0	b777bf53bf66ae65	2026-09-24T20:32:18Z LANDED landing-1 1ae41d03ed21	2026-09-24T20:51:09Z LANDED landing-2 62b29e75aeae declared-after-P1=yes	5	4	1115.1	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	15/15	0/8	0/7	declared-after-P1=yes	l8u-LZW-pro-rr-2026-09-24-lzw-score/cells-l8-lzw-pro-salt-sc-rerun.p2.score.txt	l8u-2026-09-24-lzw/harvest-LZW-pro-rr/l8-cells.tsv
l8zpsr02	LZW-pro-rr	LZW-salt-diet	gemini-3.1-pro-high	LZW	salt-diet	l8zpsr02 PASS shell-ok+fence-ok	1	0	b777bf53bf66ae65	2026-09-24T21:36:01Z LANDED landing-1 c3c7af07d53f	2026-09-24T22:16:10Z LANDED landing-2 041503a82f6c declared-after-P1=yes	4	4	509.2	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	15/15	0/8	0/7	declared-after-P1=yes	l8u-LZW-pro-rr-2026-09-24-lzw-score/cells-l8-lzw-pro-salt-sc-rerun.p2.score.txt	l8u-2026-09-24-lzw/harvest-LZW-pro-rr/l8-cells.tsv
l8zpsr03	LZW-pro-rr	LZW-salt-diet	gemini-3.1-pro-high	LZW	salt-diet	l8zpsr03 PASS shell-ok+fence-ok	1	0	b777bf53bf66ae65	2026-09-24T22:53:50Z LANDED landing-1 8a6357efd104	2026-09-24T23:44:13Z LANDED landing-2 c6a8753a94ca declared-after-P1=yes	5	7	2433.4	2	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	15/15	0/8	0/7	declared-after-P1=yes	l8u-LZW-pro-rr-2026-09-24-lzw-score/cells-l8-lzw-pro-salt-sc-rerun.p2.score.txt	l8u-2026-09-24-lzw/harvest-LZW-pro-rr/l8-cells.tsv
l8xfp2a201	Paxos-flash-rr2	Paxos-plain	gemini-3.8-flash-high	Paxos	plain	l8xfp2a201 PASS shell-ok+fence-ok	1	0	d734016187b07fdf	2026-09-25T02:29:14Z LANDED landing-1 d8bbf9874a0f	2026-09-25T02:37:57Z LANDED landing-2 d82efb765968 declared-after-P1=yes	3	3	506.1	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	FAIL	23/24	0/16	1/8	declared-after-P1=yes	l8u-Paxos-flash-rr2-2026-09-25-paxos-score/cells-l8-paxos-flash-plain-sc-rerun2-a2.p2.score.txt	l8u-2026-09-25-paxos/harvest-Paxos-flash-rr2/l8-cells.tsv
l8xfp2a202	Paxos-flash-rr2	Paxos-plain	gemini-3.8-flash-high	Paxos	plain	l8xfp2a202 PASS shell-ok+fence-ok	1	0	d734016187b07fdf	2026-09-25T02:47:16Z LANDED landing-1 2bed1e1dc9a1	2026-09-25T03:24:47Z LANDED landing-2 e3fd6d4568a6 declared-after-P1=yes	3	3	522.5	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	FAIL	23/24	0/16	1/8	declared-after-P1=yes	l8u-Paxos-flash-rr2-2026-09-25-paxos-score/cells-l8-paxos-flash-plain-sc-rerun2-a2.p2.score.txt	l8u-2026-09-25-paxos/harvest-Paxos-flash-rr2/l8-cells.tsv
l8xfp2a203	Paxos-flash-rr2	Paxos-plain	gemini-3.8-flash-high	Paxos	plain	l8xfp2a203 PASS shell-ok+fence-ok	1	0	d734016187b07fdf	2026-09-25T03:33:52Z LANDED landing-1 1a2425198622	2026-09-25T03:43:48Z LANDED landing-2 b98c7ca80789 declared-after-P1=yes	4	4	579.3	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	FAIL	23/24	0/16	1/8	declared-after-P1=yes	l8u-Paxos-flash-rr2-2026-09-25-paxos-score/cells-l8-paxos-flash-plain-sc-rerun2-a2.p2.score.txt	l8u-2026-09-25-paxos/harvest-Paxos-flash-rr2/l8-cells.tsv
l8xfs201	Paxos-flash-rr2	Paxos-salt-diet	gemini-3.8-flash-high	Paxos	salt-diet	l8xfs201 PASS shell-ok+fence-ok	1	0	d734016187b07fdf	2026-09-25T06:38:09Z LANDED landing-1 92307c0dc20f	2026-09-25T07:43:49Z LANDED landing-2 1205a9fdf316 declared-after-P1=yes	8	4	2637.3	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	24/24	0/16	0/8	declared-after-P1=yes	l8u-Paxos-flash-rr2-2026-09-25-paxos-score/cells-l8-paxos-flash-salt-sc-rerun2.p2.score.txt	l8u-2026-09-25-paxos/harvest-Paxos-flash-rr2/l8-cells.tsv
l8xfs202	Paxos-flash-rr2	Paxos-salt-diet	gemini-3.8-flash-high	Paxos	salt-diet	l8xfs202 PASS shell-ok+fence-ok	1	0	d734016187b07fdf	2026-09-25T09:04:47Z LANDED landing-1 c81b7ca9be15	2026-09-25T09:28:03Z LANDED landing-2 06d0431585eb declared-after-P1=yes	5	3	1368.6	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	24/24	0/16	0/8	declared-after-P1=yes	l8u-Paxos-flash-rr2-2026-09-25-paxos-score/cells-l8-paxos-flash-salt-sc-rerun2.p2.score.txt	l8u-2026-09-25-paxos/harvest-Paxos-flash-rr2/l8-cells.tsv
l8xfs203	Paxos-flash-rr2	Paxos-salt-diet	gemini-3.8-flash-high	Paxos	salt-diet	l8xfs203 PASS shell-ok+fence-ok	1	0	d734016187b07fdf	2026-09-25T12:01:23Z LANDED landing-1 d7680ef232e7	2026-09-25T12:23:08Z LANDED landing-2 e91351c7aa08 declared-after-P1=yes	6	3	1273.2	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	24/24	0/16	0/8	declared-after-P1=yes	l8u-Paxos-flash-rr2-2026-09-25-paxos-score/cells-l8-paxos-flash-salt-sc-rerun2.p2.score.txt	l8u-2026-09-25-paxos/harvest-Paxos-flash-rr2/l8-cells.tsv
