# LEVEL 7 retention decomposition — the same split applied to RESULT-gemini-level7-2026-09-19s 84 cells.
# Every `retained` is asserted EQUAL to brownfield_rewrite_class.classify()s own value (this script
# imports the level-7 export s OWN classifier and fails otherwise). W1 seed tree: /Users/jyh/projects/claude/saltbench-systems-v3-export-9bfb6ef/tasks/systems-v3
# surv = matched seed lines / seed lines   growth = end lines / seed lines   (same differ, autojunk=False)
cell	task	arm	class	retained	surv	growth	seed_lines	end_lines	kept	end_from	err
l7nffp01	FreeList	plain	REPAIRED	0.392	0.484	1.47	192	282	93	HEAD	
l7nffp02	FreeList	plain	REPAIRED	0.537	0.635	1.36	192	262	122	HEAD	
l7nffp03	FreeList	plain	REPAIRED	0.434	0.510	1.35	192	260	98	HEAD	
l7nffs01	FreeList	salt	REPAIRED	0.426	0.964	3.53	192	677	185	HEAD	
l7nffs02	FreeList	salt	REPAIRED	0.466	0.953	3.09	192	594	183	HEAD	
l7nffs03	FreeList	salt	REPAIRED	0.396	0.578	1.92	192	368	111	HEAD	
l7nfzp01	LZW	plain	REPAIRED	0.291	0.380	1.61	100	161	38	HEAD	
l7nfzp02	LZW	plain	REPAIRED	0.353	0.520	1.95	100	195	52	HEAD	
l7nfzp03	LZW	plain	REPAIRED	0.315	0.420	1.67	100	167	42	HEAD	
l7nfzs01	LZW	salt	REPAIRED	0.586	0.950	2.24	100	224	95	HEAD	
l7nfzs02	LZW	salt	REPAIRED	0.499	0.950	2.81	100	281	95	HEAD	
l7nfzs03	LZW	salt	REPAIRED	0.314	0.710	3.52	100	352	71	HEAD	
l7npfp01	FreeList	plain	REPAIRED	0.646	0.635	0.97	192	186	122	HEAD	
l7npfp02	FreeList	plain	REPAIRED	0.690	0.661	0.92	192	176	127	HEAD	
l7npfp03	FreeList	plain	REPAIRED	0.775	0.771	0.99	192	190	148	HEAD	
l7npfs01	FreeList	salt	REPAIRED	0.307	0.438	1.85	192	356	84	HEAD	
l7npfs02	FreeList	salt	REPAIRED	0.669	1.000	1.99	192	382	192	HEAD	
l7npfs03	FreeList	salt	REPAIRED	0.640	1.000	2.12	192	408	192	HEAD	
l7npzp01	LZW	plain	REPAIRED	0.990	0.990	1.00	100	100	99	HEAD	
l7npzp02	LZW	plain	REPAIRED	0.990	0.990	1.00	100	100	99	HEAD	
l7npzp03	LZW	plain	REPAIRED	0.511	0.460	0.80	100	80	46	HEAD	
l7npzs01	LZW	salt	REPAIRED	0.233	0.560	3.80	100	380	56	HEAD	
l7npzs02	LZW	salt	REPAIRED	0.333	0.750	3.51	100	351	75	HEAD	
l7npzs03	LZW	salt	REPAIRED	0.531	0.910	2.43	100	243	91	HEAD	
l7sffp01	FreeList	plain	REPAIRED	0.830	0.901	1.17	192	225	173	HEAD	
l7sffp02	FreeList	plain	REPAIRED	0.791	0.896	1.27	192	243	172	HEAD	
l7sffp03	FreeList	plain	REPAIRED	0.831	0.906	1.18	192	227	174	HEAD	
l7sffs01	FreeList	salt	REPAIRED	0.237	0.906	6.64	192	1275	174	HEAD	
l7sffs02	FreeList	salt	REPAIRED	0.383	0.995	4.19	192	805	191	HEAD	
l7sffs03	FreeList	salt	REPAIRED	0.270	0.661	3.90	192	748	127	HEAD	
l7sfrp01	LRU	plain	REPAIRED	0.948	0.980	1.07	102	109	100	HEAD	
l7sfrp02	LRU	plain	REPAIRED	0.952	0.980	1.06	102	108	100	HEAD	
l7sfrp03	LRU	plain	REPAIRED	0.610	0.706	1.31	102	134	72	HEAD	
l7sfrs01	LRU	salt	REPAIRED	0.344	0.882	4.14	102	422	90	HEAD	
l7sfrs02	LRU	salt	REPLACED	0.188	0.647	5.90	102	602	66	HEAD	
l7sfrs03	LRU	salt	REPAIRED	0.231	0.765	5.62	102	573	78	HEAD	
l7sfzp01	LZW	plain	REPAIRED	0.533	0.690	1.59	100	159	69	HEAD	
l7sfzp02	LZW	plain	REPAIRED	0.725	0.740	1.04	100	104	74	HEAD	
l7sfzp03	LZW	plain	REPAIRED	0.700	0.710	1.03	100	103	71	HEAD	
l7sfzs01	LZW	salt	REPAIRED	0.459	0.900	2.92	100	292	90	HEAD	
l7sfzs02	LZW	salt	REPLACED	0.193	0.730	6.55	100	655	73	HEAD	
l7sfzs03	LZW	salt	REPAIRED	0.433	0.770	2.56	100	256	77	HEAD	
l7spfb01	FreeList	salt	REPAIRED	0.580	0.995	2.43	192	467	191	HEAD	
l7spfb02	FreeList	salt	REPAIRED	0.693	0.995	1.87	192	359	191	HEAD	
l7spfp01	FreeList	plain	REPAIRED	0.995	0.995	1.00	192	192	191	HEAD	
l7spfp02	FreeList	plain	REPAIRED	0.995	0.995	1.00	192	192	191	HEAD	
l7spfp03	FreeList	plain	UNTOUCHED	1.000	1.000	1.00	192	192	192	HEAD	
l7spfwa201	FreeList	salt	REPAIRED	0.287	0.932	5.49	192	1055	179	HEAD	
l7sprp01	LRU	plain	REPAIRED	0.976	0.990	1.03	102	105	101	HEAD	
l7sprp02	LRU	plain	REPAIRED	0.981	0.990	1.02	102	104	101	HEAD	
l7sprp03	LRU	plain	REPAIRED	0.961	0.971	1.02	102	104	99	HEAD	
l7sprs01	LRU	salt	REPAIRED	0.318	0.912	4.74	102	483	93	HEAD	
l7sprs02	LRU	salt	REPLACED	0.126	0.284	3.53	102	360	29	HEAD	
l7sprs03	LRU	salt	REPAIRED	0.309	0.961	5.23	102	533	98	HEAD	
l7spzp01	LZW	plain	REPAIRED	0.990	0.990	1.00	100	100	99	HEAD	
l7spzp02	LZW	plain	REPAIRED	0.990	0.990	1.00	100	100	99	HEAD	
l7spzp03	LZW	plain	REPAIRED	0.990	0.990	1.00	100	100	99	HEAD	
l7spzs01	LZW	salt	REPLACED	0.107	0.680	11.75	100	1175	68	HEAD	
l7spzs02	LZW	salt	REPAIRED	0.348	0.940	4.41	100	441	94	HEAD	
l7spzs03	LZW	salt	REPAIRED	0.279	0.860	5.17	100	517	86	HEAD	
