cell	problem	arm	field	extras	run_state	suite	tests	V1_bugs_fixed	bugs_introduced	class	retained	surv	growth	seed_lines	end_lines	kept	w1_fenced	end_from	final_T	final_COST	cap_unit	cap	capped
clbbfs02	FreeList	salt-diet	brownfield	none	ENDED: LANDED	PASS	7/7	1 of 1	>=0 (suite-limited)	REPAIRED	0.301	0.995	5.61	192	1077	191	COVERED	HEAD	96655548	28.9152	COST	37.21	no
clbbfs03	FreeList	salt-diet	brownfield	none	ENDED: CAP-COST	PASS	7/7	1 of 1	>=0 (suite-limited)	REPAIRED	0.225	0.875	6.79	192	1303	168	COVERED	HEAD	129225268	37.4300	COST	37.21	YES
clbblp01	LRU	plain	brownfield	none	ENDED: LANDED	PASS	16/16	6 of 6	>=0 (suite-limited)	REPAIRED	0.981	0.990	1.02	102	104	101	COVERED	HEAD	2030381	0.9246	COST	37.21	no
clbblp02	LRU	plain	brownfield	none	ENDED: LANDED	PASS	16/16	6 of 6	>=0 (suite-limited)	REPAIRED	0.981	0.990	1.02	102	104	101	COVERED	HEAD	1960957	0.9443	COST	37.21	no
clbblp03	LRU	plain	brownfield	none	ENDED: LANDED	PASS	16/16	6 of 6	>=0 (suite-limited)	REPAIRED	0.976	0.990	1.03	102	105	101	COVERED	HEAD	2259355	1.0246	COST	37.21	no
clbbls01	LRU	salt-diet	brownfield	none	ENDED: LANDED	PASS	16/16	6 of 6	>=0 (suite-limited)	REPAIRED	0.273	0.882	5.46	102	557	90	COVERED	HEAD	17021913	6.4961	COST	37.21	no
clbbls02	LRU	salt-diet	brownfield	none	ENDED: LANDED	PASS	16/16	6 of 6	>=0 (suite-limited)	REPAIRED	0.219	0.794	6.25	102	638	81	COVERED	HEAD	23514670	7.7427	COST	37.21	no
clbbls03	LRU	salt-diet	brownfield	none	ENDED: LANDED	PASS	16/16	6 of 6	>=0 (suite-limited)	REPLACED	0.191	0.735	6.70	102	683	75	COVERED	HEAD	28968853	9.0527	COST	37.21	no
clbbpp01	Paxos	plain	brownfield	none	ENDED: LANDED	PASS	17/17	6 of 6	>=0 (suite-limited)	REPAIRED	0.980	0.987	1.01	377	382	372	COVERED	HEAD	6151825	3.0502	COST	37.21	no
clbbpp02	Paxos	plain	brownfield	none	ENDED: LANDED	PASS	17/17	6 of 6	>=0 (suite-limited)	REPAIRED	0.958	0.968	1.02	377	385	365	COVERED	HEAD	5907946	3.4601	COST	37.21	no
clbbpp03	Paxos	plain	brownfield	none	ENDED: LANDED	PASS	17/17	6 of 6	>=0 (suite-limited)	REPAIRED	0.971	0.984	1.03	377	387	371	COVERED	HEAD	6674641	2.8717	COST	37.21	no
clbbps01	Paxos	salt-diet	brownfield	none	ENDED: DIALOG	PASS	17/17	6 of 6	>=0 (suite-limited)	REPLACED	0.184	0.623	5.78	377	2179	235	COVERED	working tree	94783997	28.3143	COST	37.21	no
clbbps02	Paxos	salt-diet	brownfield	none	ENDED: CAP-COST	PASS	17/17	6 of 6	>=0 (suite-limited)	REPAIRED	0.346	0.851	3.92	377	1477	321	COVERED	HEAD	154970100	37.9576	COST	37.21	YES
clbbps03	Paxos	salt-diet	brownfield	none	ENDED: CAP-COST	PASS	17/17	6 of 6	>=0 (suite-limited)	REPLACED	0.149	0.419	4.62	377	1740	158	COVERED	working tree	154795624	37.9185	COST	37.21	YES
clbbzp01	LZW	plain	brownfield	none	ENDED: LANDED	PASS	8/8	5 of 5	>=0 (suite-limited)	REPAIRED	0.426	0.420	0.97	100	97	42	COVERED	HEAD	3115443	1.5162	COST	37.21	no
clbbzp02	LZW	plain	brownfield	none	ENDED: LANDED	PASS	8/8	5 of 5	>=0 (suite-limited)	REPAIRED	0.469	0.460	0.96	100	96	46	COVERED	HEAD	3989904	2.1726	COST	37.21	no
clbbzp03	LZW	plain	brownfield	none	ENDED: LANDED	PASS	8/8	5 of 5	>=0 (suite-limited)	REPAIRED	0.818	0.830	1.03	100	103	83	COVERED	HEAD	1660569	1.0126	COST	37.21	no
clbbzs01	LZW	salt-diet	brownfield	none	ENDED: LANDED	PASS	8/8	5 of 5	>=0 (suite-limited)	REPLACED	0.102	0.800	14.70	100	1470	80	COVERED	HEAD	59322626	19.2957	COST	37.21	no
clbbzs02	LZW	salt-diet	brownfield	none	ENDED: LANDED	PASS	8/8	5 of 5	>=0 (suite-limited)	REPLACED	0.112	0.670	10.92	100	1092	67	COVERED	HEAD	64809739	20.5363	COST	37.21	no
clbbzs03	LZW	salt-diet	brownfield	none	ENDED: LANDED	PASS	8/8	5 of 5	>=0 (suite-limited)	REPLACED	0.132	0.710	9.73	100	973	71	COVERED	HEAD	42027486	14.1849	COST	37.21	no
