root	cell	arm	acct	status	models	records	input	cache_write_5m	cache_write_1h	cache_read	output	T	cost
cells-matrix1	f795e96f	plain	dbfc67e4	FLOOR	claude-opus-5	119	238	149667	118148	8452820	139043	8859916	9.820573750000001
cells-specchange-1	18fb3eed	salt-diet	27b7f909	OK	claude-opus-5	147	294	57824	235816	20442928	173624	20910486	17.283094
cells-specchange-1	22ee7d33	plain	27b7f909	OK	claude-opus-5	152	304	228215	194367	16951765	212301	17586952	17.154941250000004
cells-specchange-1	6d58f1ec	salt-diet	27b7f909	OK	claude-opus-5+claude-sonnet-5	170	340	155352	220827	21521907	199958	22098384	18.70671235
cells-specchange-1	93323249	plain	27b7f909	OK	claude-opus-5	126	252	148991	153199	10562171	170031	11034644	11.99630425
cells-n3-topup	n301free	plain	27b7f909	FLOOR	claude-opus-5	103	206	129877	182027	9743131	220261	10275502	13.01112175
cells-n3-topup	n302lru	plain	27b7f909	OK	claude-opus-5+claude-sonnet-5	133	266	91536	141036	11073206	119301	11425345	9.865704500000001
cells-n3-topup	n303paxo	plain	27b7f909	OK	claude-opus-5	156	312	573531	196741	17241564	239296	18251444	20.15672074999999
cells-stmt-2026-09-09	st01crc3	plain	27b7f909	OK	claude-opus-5+claude-sonnet-5	103	206	71249	107101	6055467	90751	6324774	6.3555902
cells-stmt-2026-09-09	st02crc3	plain	27b7f909	FLOOR	claude-opus-5+claude-sonnet-5	130	260	157193	133236	8682985	125953	9099627	8.640572850000002
cells-stmt-2026-09-09	st03crc3	plain	27b7f909	OK	claude-opus-5+claude-sonnet-5	100	200	85506	113120	5906674	100787	6206287	6.6631654
cells-stmt-2026-09-09	st04crc3	salt-diet	27b7f909	FLOOR	claude-opus-5+claude-sonnet-5	116	232	50223	144206	10384671	94376	10673708	8.5560657
cells-stmt-2026-09-09	st05crc3	salt-diet	27b7f909	OK	claude-opus-5+claude-sonnet-5	78	156	31164	115009	5706330	74828	5927487	5.6526188999999984
cells-stmt-2026-09-09	st06crc3	salt-diet	27b7f909	OK	claude-opus-5+claude-sonnet-5	65	130	29491	126155	5577939	95106	5828821	6.253046600000002
cells-stmt-2026-09-09	st07lru	plain	27b7f909	OK	claude-opus-5+claude-sonnet-5	109	218	135336	128405	7938930	149233	8352122	9.357899049999999
cells-stmt-2026-09-09	st08lru	plain	27b7f909	OK	claude-opus-5+claude-sonnet-5	87	174	78561	147896	7736229	135496	8098356	8.92235535
cells-stmt-2026-09-09	st09lru	plain	27b7f909	OK	claude-opus-5+claude-sonnet-5	187	374	213336	157832	16279751	180930	16832223	15.117515350000001
cells-stmt-2026-09-09	st10lru	salt-diet	27b7f909	FLOOR	claude-opus-5	165	330	140917	229484	21084152	197379	21652262	18.653772250000003
cells-stmt-2026-09-09	st11lru	salt-diet	27b7f909	OK	claude-opus-5+claude-sonnet-5	139	278	86630	200668	15613893	179724	16081193	14.237848
cells-stmt-2026-09-09	st12lru	salt-diet	27b7f909	OK	claude-opus-5+claude-sonnet-5	136	272	79344	192910	15840673	152800	16265999	13.653506000000007
cells-stmt-free-2026-09-09	sf01free	plain	27b7f909	FLOOR	claude-opus-5+claude-sonnet-5	224	448	397021	168488	19258901	298070	20122928	17.722509049999996
cells-stmt-free-2026-09-09	sf02free	plain	27b7f909	OK	claude-opus-5	124	248	225369	198001	14797817	298709	15520144	18.256439750000002
cells-stmt-free-2026-09-09	sf03free	plain	27b7f909	OK	claude-opus-5+claude-sonnet-5	187	374	249429	185479	18762501	272883	19470666	18.424782649999997
cells-stmt-free-2026-09-09	sf04free	salt-diet	27b7f909	OK	claude-opus-5+claude-sonnet-5	212	424	115805	319057	38056856	272820	38764962	29.00073195000001
cells-stmt-free-2026-09-09	sf05free	salt-diet	27b7f909	OK	claude-opus-5	137	274	78429	307447	21279406	278812	21944368	21.176024249999998
cells-stmt-free-2026-09-09	sf06free	salt-diet	27b7f909	OK	claude-opus-5	169	338	104384	366962	32059409	299659	32830752	27.844889500000004
cells-placebo	pb1a2b3c	placebo	dbfc67e4	OK	claude-opus-5+claude-sonnet-5	115	230	126535	125355	7634546	131673	8018339	8.28703635
cells-placebo	pw01crc3	placebo	dbfc67e4	FLOOR	claude-opus-5+claude-sonnet-5	118	236	101985	120173	8028990	107568	8358952	8.176493100000004
cells-placebo	pw02crc3	placebo	dbfc67e4	FLOOR	claude-opus-5+claude-sonnet-5	128	256	101560	114070	9073819	105941	9395646	8.4054491
cells-placebo	pw03crc3	placebo	dbfc67e4	OK	claude-opus-5+claude-sonnet-5	99	198	92135	101196	5927796	84281	6205606	6.297000699999999
cells-placebo	pw04free	placebo	dbfc67e4	FLOOR	claude-opus-5+claude-sonnet-5	111	222	149338	173681	10549631	177888	11050760	11.568218949999999
cells-placebo	pw05free	placebo	dbfc67e4	FLOOR	claude-opus-5+claude-sonnet-5	220	440	177664	286214	21254178	258951	21977447	20.001935949999996
cells-placebo	pw06free	placebo	dbfc67e4	FLOOR	claude-opus-5+claude-sonnet-5	308	616	538915	331170	41219511	389921	42480133	36.434280950000016
cells-placebo	pw07lru	placebo	dbfc67e4	FLOOR	claude-opus-5+claude-sonnet-5	150	300	76837	173189	9437367	118377	9806070	9.581663100000002
cells-placebo	pw08lru	placebo	dbfc67e4	OK	claude-opus-5+claude-sonnet-5	109	218	91389	146989	5368091	111857	5718544	6.90751805
cells-placebo	pw09lru	placebo	dbfc67e4	FLOOR	claude-opus-5+claude-sonnet-5	121	242	98603	147116	6403371	114346	6763678	7.2413016
cells-placebo	pw10lzw	placebo	dbfc67e4	FLOOR	claude-opus-5+claude-sonnet-5	206	412	217219	201474	15736702	210849	16366656	15.532605199999999
cells-placebo	pw11lzw	placebo	dbfc67e4	FLOOR	claude-opus-5+claude-sonnet-5	163	326	238120	205084	10293561	208948	10946039	12.401580550000002
cells-placebo	pw12lzw	placebo	dbfc67e4	OK	claude-opus-5+claude-sonnet-5	134	268	119161	177483	7493459	168445	7958816	9.135282950000002
cells-placebo	pw13paxo	placebo	dbfc67e4	FLOOR	claude-opus-5+claude-sonnet-5	192	384	410366	271340	19185175	351401	20218666	22.168977200000004
cells-placebo	pw14paxo	placebo	dbfc67e4	OK	claude-opus-5+claude-sonnet-5	144	288	154736	228595	16381816	187021	16952456	15.505210350000006
cells-placebo	pw15paxo	placebo	dbfc67e4	FLOOR	claude-opus-5+claude-sonnet-5	154	308	388633	218631	14334481	223403	15165456	16.043844299999996
cells-placebo-refire	rf01crc3	placebo	dbfc67e4	FLOOR	claude-opus-5+claude-sonnet-5	83	166	99439	101399	4515697	83428	4800129	5.57205995
cells-placebo-refire	rf02crc3	placebo	dbfc67e4	FLOOR	claude-opus-5+claude-sonnet-5	111	222	99077	122117	7505701	92653	7819770	7.6195567
cells-placebo-refire	rf03crc3	placebo	dbfc67e4	FLOOR	claude-opus-5+claude-sonnet-5	95	190	97701	101907	5296730	99794	5596322	6.41247935
cells-placebo-refire	rf04free	placebo	dbfc67e4	OK	claude-opus-5+claude-sonnet-5	158	316	679957	170896	14728122	222988	15802279	18.366581449999998
cells-placebo-refire	rf05free	placebo	dbfc67e4	FLOOR	claude-opus-5+claude-sonnet-5	265	530	322677	225338	30628724	290448	31467717	23.481295449999998
cells-placebo-refire	rf06free	placebo	dbfc67e4	FLOOR	claude-opus-5+claude-sonnet-5	157	314	187915	196612	17471881	210715	18067437	16.2378339
cells-placebo-refire	rf07lru	placebo	dbfc67e4	OK	claude-opus-5+claude-sonnet-5	103	206	99562	140838	8114465	120349	8475420	8.599412050000002
cells-placebo-refire	rf08lru	placebo	dbfc67e4	FLOOR	claude-opus-5+claude-sonnet-5	116	232	89424	128503	8871519	102643	9192321	8.339900199999999
cells-placebo-refire	rf09lru	placebo	dbfc67e4	OK	claude-opus-5+claude-sonnet-5	173	346	116648	190561	17132150	151983	17591688	14.383085699999999
cells-placebo-refire	rf10lzw	placebo	dbfc67e4	OK	claude-opus-5+claude-sonnet-5	120	240	108097	149497	9318361	167279	9743474	9.9432759
cells-placebo-refire	rf11lzw	placebo	dbfc67e4	OK	claude-opus-5+claude-sonnet-5	101	202	99255	140278	7762881	137729	8140345	8.7516971
cells-placebo-refire	rf12lzw	placebo	dbfc67e4	FLOOR	claude-opus-5+claude-sonnet-5	127	254	123375	126813	9128870	158570	9537882	9.195625150000001
cells-placebo-refire	rf13paxo	placebo	dbfc67e4	OK	claude-opus-5+claude-sonnet-5	197	394	539005	241462	24307036	245469	25333366	22.342853549999994
cells-placebo-refire	rf14paxo	placebo	dbfc67e4	OK	claude-opus-5+claude-sonnet-5	143	286	179150	196638	16422046	209296	17007416	15.951321250000003
cells-placebo-refire	rf15paxo	placebo	dbfc67e4	FLOOR	claude-opus-5+claude-sonnet-5	158	316	229918	232393	20070341	234922	20767890	18.231024299999998
